                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                 1.8887,                 2.1592,                  2.229,                0.26392,                0.52632,                0.34971,                0.15013,                 1.9152,                 2.1285,                 2.2188,               0.001274,               0.001274,               0.001274
                    113,                 1.8893,                 2.0138,                 2.1874,                0.22282,                0.47368,                0.20967,                0.07219,                  2.152,                 2.7735,                 2.4701,              0.0012674,              0.0012674,              0.0012674
                    114,                 1.8236,                  2.042,                  2.139,                      1,                0.14951,                0.27404,                0.11632,                 2.0598,                 2.3998,                 2.4108,              0.0012608,              0.0012608,              0.0012608
                    115,                 1.8573,                 1.9994,                 2.1426,                0.23411,                0.47368,                0.30189,                 0.1402,                   1.94,                 2.2248,                 2.2517,              0.0012542,              0.0012542,              0.0012542
                    116,                 1.8775,                 2.0281,                 2.1331,                0.38496,                0.26316,                0.34639,                0.17475,                  1.931,                 2.2443,                 2.1923,              0.0012476,              0.0012476,              0.0012476
                    117,                 1.8705,                 2.0447,                 2.1607,                0.60494,                0.31579,                0.40237,                0.16368,                 2.0189,                 2.1629,                 2.3303,               0.001241,               0.001241,               0.001241
                    118,                 1.8617,                 2.0745,                 2.1879,                 0.3578,                0.42105,                0.33839,                 0.1198,                  2.139,                 2.4232,                 2.5016,              0.0012344,              0.0012344,              0.0012344
                    119,                 1.8735,                   2.11,                 2.1962,                0.44299,                0.36842,                0.34662,                0.14111,                 2.0906,                 2.3067,                 2.4175,              0.0012278,              0.0012278,              0.0012278
                    120,                 1.8314,                 2.0552,                 2.1394,                0.43292,                0.31579,                0.36321,                0.15864,                 1.9531,                 2.5982,                 2.3143,              0.0012212,              0.0012212,              0.0012212
                    121,                 1.8779,                 2.0577,                 2.1726,                 0.3986,                0.41872,                0.35933,                0.14085,                 1.9512,                 2.5558,                 2.3333,              0.0012146,              0.0012146,              0.0012146
                    122,                 1.8765,                 2.0942,                 2.1728,                0.43452,                0.31579,                 0.3602,                0.11472,                 2.1181,                 2.3321,                 2.4573,               0.001208,               0.001208,               0.001208
                    123,                 1.8649,                 2.0453,                 2.1344,                0.28035,                0.36842,                0.32721,                0.12157,                 2.1689,                 2.3947,                 2.5466,              0.0012014,              0.0012014,              0.0012014
                    124,                 1.7929,                 1.9753,                 2.0899,                 0.6089,                 0.4104,                0.41806,                0.14926,                 1.9851,                 2.1774,                  2.359,              0.0011948,              0.0011948,              0.0011948
                    125,                 1.8206,                 1.9588,                  2.122,                0.56596,                0.42105,                0.42407,                0.12717,                 2.0441,                  2.185,                 2.3434,              0.0011882,              0.0011882,              0.0011882
                    126,                 1.8092,                 2.0302,                 2.0965,                0.67147,                0.21053,                 0.3288,                0.12073,                 2.2122,                 2.7719,                 2.5674,              0.0011816,              0.0011816,              0.0011816
                    127,                 1.8654,                 2.0555,                 2.1443,                 0.2217,                0.31579,                0.27772,                0.11214,                  2.166,                 2.3953,                 2.4639,               0.001175,               0.001175,               0.001175
